"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TACC11",3.38903542687183e-29,0.656289345166329,0.478,0.09,1.00152774934916e-24,"7","TACC1"
"EMILIN21",3.6420305645408e-29,0.575793379160856,0.261,0.03,1.0762928724331e-24,"7","EMILIN2"
"REV3L",3.6855317674706e-29,0.545069639571861,0.42,0.069,1.08914834792291e-24,"7","REV3L"
"FLOT11",3.74747354900555e-29,0.414368504138411,0.406,0.066,1.10745338320212e-24,"7","FLOT1"
"NEDD9",3.79685752375932e-29,0.533742521312352,0.464,0.084,1.12204733542135e-24,"7","NEDD9"
"AP1S22",4.26060059023293e-29,0.571201643041749,0.42,0.07,1.25909268642563e-24,"7","AP1S2"
"C21orf91",6.20218607515754e-29,0.623957949177526,0.362,0.054,1.83287002893056e-24,"7","C21orf91"
"MALT12",6.311489185589e-29,0.823784883402319,0.464,0.086,1.86517128412526e-24,"7","MALT1"
"SPAG92",7.23839921392097e-29,0.571646949381786,0.58,0.127,2.13909173569793e-24,"7","SPAG9"
"ADAM81",8.93141670457942e-29,0.7439573886868,0.319,0.044,2.63941226453731e-24,"7","ADAM8"
"TNFAIP82",1.20094141457374e-28,1.1638876408749,0.594,0.138,3.54902206834831e-24,"7","TNFAIP8"
"REL4",1.38119428444953e-28,1.21584276569452,0.797,0.238,4.08170534940524e-24,"7","REL"
"AHNAK",1.48266037954291e-28,0.677818502551923,0.696,0.178,4.3815579536252e-24,"7","AHNAK"
"RTF2",2.1020000919463e-28,0.403957580973883,0.449,0.08,6.2118306717197e-24,"7","RTF2"
"RYBP1",2.15695202454902e-28,0.89682001195804,0.522,0.109,6.37422462294726e-24,"7","RYBP"
"CST33",2.83906831069176e-28,0.278115215519853,0.899,0.229,8.39001467175629e-24,"7","CST3"
"SERINC3",3.33926121381715e-28,0.684889165168814,0.464,0.086,9.86818473907244e-24,"7","SERINC3"
"PSMD1",4.08669089982107e-28,0.388017278044162,0.304,0.04,1.20769889471512e-23,"7","PSMD1"
"PRDX61",5.33220212923021e-28,0.343051015049214,0.725,0.188,1.57577237323011e-23,"7","PRDX6"
"RALGAPA13",5.93934334643291e-28,1.04580836140357,0.522,0.109,1.75519474573785e-23,"7","RALGAPA1"
"BTN2A2",6.36647867458582e-28,0.502984446382916,0.29,0.037,1.8814217779136e-23,"7","BTN2A2"
"PPIB3",7.98307377735683e-28,0.741391419773344,0.754,0.216,2.35915796268449e-23,"7","PPIB"
"FBRS",1.4571828371422e-27,0.607428842771806,0.333,0.049,4.30626672032262e-23,"7","FBRS"
"RELB2",1.70777165462184e-27,0.631161005116076,0.478,0.092,5.04680679373847e-23,"7","RELB"
"NFIA1",2.0606612791008e-27,0.253294063031922,0.261,0.031,6.08966621199869e-23,"7","NFIA"
"ANXA11",2.15184200403622e-27,0.439701559970787,0.464,0.088,6.35912349032782e-23,"7","ANXA11"
"GNA152",2.81169697337497e-27,0.455874478089847,0.348,0.052,8.30912689571772e-23,"7","GNA15"
"RPS27L",3.24756196812841e-27,0.533883270427771,0.667,0.168,9.59719512821309e-23,"7","RPS27L"
"NFAT52",3.85493626489335e-27,0.889015543941359,0.449,0.086,1.13921076500128e-22,"7","NFAT5"
"TSC22D2",4.06316403340988e-27,0.652825684665512,0.478,0.094,1.20074623515329e-22,"7","TSC22D2"
"VPS37B1",4.55171647079809e-27,0.630388490215765,0.522,0.11,1.34512325145025e-22,"7","VPS37B"
"MCRIP2",1.2795411309111e-26,0.50045304732358,0.261,0.032,3.78129995006847e-22,"7","MCRIP2"
"FXR1",1.62381003237956e-26,0.444287776007219,0.71,0.19,4.79868340768807e-22,"7","FXR1"
"SEC61B2",1.66899512859266e-26,0.543986328748544,0.783,0.228,4.93221440401702e-22,"7","SEC61B"
"S100A42",4.01545493370206e-26,1.08094337503194,0.884,0.284,1.18664724200763e-21,"7","S100A4"
"ABHD2",4.31909145977647e-26,0.254827169684721,0.275,0.035,1.27637790819314e-21,"7","ABHD2"
"PPM1A",4.39177575890859e-26,0.446939083814619,0.304,0.043,1.29785757227267e-21,"7","PPM1A"
"HLTF",4.68278607588846e-26,0.27050233652465,0.261,0.032,1.38385694114656e-21,"7","HLTF"
"RHOG2",5.51161223674397e-26,0.66735877847365,0.507,0.109,1.62879164820258e-21,"7","RHOG"
"PLK31",8.16246045157207e-26,1.16489022439482,0.493,0.108,2.41217031264858e-21,"7","PLK3"
"ASAH12",8.84348543643639e-26,0.289156799194868,0.551,0.12,2.61342681617568e-21,"7","ASAH1"
"CWC25",1.00112591043021e-25,0.575777201179027,0.42,0.078,2.95852729050335e-21,"7","CWC25"
"LINC00963",1.38137707859196e-25,0.540175446821161,0.275,0.036,4.08224554265496e-21,"7","LINC00963"
"MIER11",1.38179278337403e-25,0.674702859853557,0.507,0.108,4.08347403342692e-21,"7","MIER1"
"TAGLN2",1.45870217067798e-25,0.566248885933757,0.884,0.289,4.31075665478757e-21,"7","TAGLN2"
"EMD",1.75073890899238e-25,0.639844476792703,0.493,0.105,5.17378362385428e-21,"7","EMD"
"ZC3H12A1",2.58025570293502e-25,0.417625530616294,0.522,0.113,7.62517165331358e-21,"7","ZC3H12A"
"EHD11",3.10680472640345e-25,0.723249820290562,0.464,0.095,9.18122932746748e-21,"7","EHD1"
"LFNG1",4.52102933125617e-25,0.434595805264172,0.29,0.041,1.33605458797282e-20,"7","LFNG"
"MYDGF2",4.5761432982111e-25,0.349028440307826,0.493,0.102,1.35234186748734e-20,"7","MYDGF"
"BIRC33",5.46744036455015e-25,1.14443495773385,0.783,0.233,1.61573797653186e-20,"7","BIRC3"
"NUDT14",5.56568174435507e-25,0.372302596831013,0.275,0.037,1.64477026909181e-20,"7","NUDT14"
"HIPK11",5.59199385672614e-25,0.764861328302567,0.435,0.086,1.65254602453971e-20,"7","HIPK1"
"SMAD3",7.0112551340524e-25,0.374240039564921,0.261,0.034,2.07196611721517e-20,"7","SMAD3"
"TMEM1541",7.01648716587098e-25,0.551678578676474,0.275,0.037,2.07351228725819e-20,"7","TMEM154"
"SOS2",8.59442547540558e-25,0.494815959915123,0.29,0.041,2.53982461649186e-20,"7","SOS2"
"RABAC11",9.02131079003573e-25,0.397774605488241,0.609,0.151,2.66597776467136e-20,"7","RABAC1"
"MAP4K5",1.14730498127078e-24,0.369760329522299,0.261,0.034,3.39051568065142e-20,"7","MAP4K5"
"ARID1B2",1.18048063439132e-24,0.689534887319165,0.493,0.108,3.48855637075323e-20,"7","ARID1B"
"RRBP13",1.49123546670536e-24,0.273382013994689,0.391,0.07,4.40689905120767e-20,"7","RRBP1"
"SLK",1.67469019637896e-24,0.367467686071765,0.319,0.049,4.9490444683391e-20,"7","SLK"
"ZFP911",1.73706773340963e-24,0.558500595780843,0.377,0.066,5.13338256577215e-20,"7","ZFP91"
"CD523",2.41143645175146e-24,1.02204540404694,0.841,0.265,7.12627700221592e-20,"7","CD52"
"MARK3",2.81588674832475e-24,0.27552397336447,0.377,0.065,8.3215085186493e-20,"7","MARK3"
"WIPF2",3.80122127365648e-24,0.464564625917477,0.29,0.042,1.12333691079096e-19,"7","WIPF2"
"PPP1R15B",4.11491756660277e-24,0.448837141603839,0.623,0.161,1.21604043928245e-19,"7","PPP1R15B"
"OSTF12",5.65149308001277e-24,0.55236177855233,0.464,0.097,1.67012923500537e-19,"7","OSTF1"
"C1orf1621",7.56585966033874e-24,0.29363879762606,0.406,0.075,2.2358628468233e-19,"7","C1orf162"
"ZNF4281",1.00783382570913e-23,0.264671194718892,0.391,0.07,2.97835052173563e-19,"7","ZNF428"
"PLIN21",1.02080648012331e-23,0.763361321740373,0.754,0.219,3.0166873100604e-19,"7","PLIN2"
"TUBGCP21",1.0951396869972e-23,0.522058376422789,0.29,0.043,3.23635680301413e-19,"7","TUBGCP2"
"RRAD",1.11224520142099e-23,1.56774337606175,0.348,0.059,3.2869070192393e-19,"7","RRAD"
"CYLD2",1.11463157172651e-23,0.600787451288476,0.565,0.141,3.29395922076618e-19,"7","CYLD"
"TSPO2",1.80295092362311e-23,0.266998697920725,0.681,0.184,5.32808056949103e-19,"7","TSPO"
